Species	Group	CSS	Microbes	FBratio	FungalPerc	BacterialPerc
Artcal	1	1	116.96	0.11	9.76	90.24
Mallau	1	0	205.35	0.38	27.75	72.25
Salapi	1	1	264.97	0.49	33.09	66.91
Samnig	1	0	293.16	0.54	35.27	64.73
Artcal	2	1	284.34	0.54	34.99	65.01
Mallau	2	0	37.96	0.02	2.05	97.95
Salapi	2	1	238.91	0.41	29.31	70.69
Samnig	2	0	230.23	0.39	28.05	71.95
Artcal	3	1	224.14	0.41	29.3	70.7
Mallau	3	0	94.08	0.08	7.16	92.84
Salapi	3	1	216.54	0.35	25.98	74.02
Samnig	3	0	52.48	0.04	3.7	96.3
Artcal	4	1	156.17	0.14	12.14	87.86
Mallau	4	0	271.26	0.51	33.86	66.14
Salapi	4	1	143.55	0.14	12.16	87.84
Samnig	4	0	207.74	0.39	28.13	71.87
Artcal	5	1	142.11	0.12	10.61	89.39
Mallau	5	0	122.99	0.09	8.2	91.8
Salapi	5	1	123.5	0.09	8.63	91.37
Samnig	5	0	121	0.1	8	92
Artcal	7	1	278.87	0.52	34.38	65.62
Mallau	7	0	194.78	0.19	16.22	83.78
Salapi	7	1	236.8	0.45	30.97	69.03
Samnig	7	0	337.24	0.64	39.06	60.94
Salapi	6	1	134.84	0.13	11.21	88.79
Mallau	6	0	421	0.8	44	56
Samnig	6	0	505	1	50	50
Artcal	6	1	135	0.1	11	89